bedroom_count,net_sqm,center_distance,metro_distance,floor,age,price
2,12.75429629,171.28,48.00426309,1,49,95656.91925
8,218.8552985,1031.47,86.7176821,1,3,100418.9814
7,221.0807349,1858.85,122.1119535,1,5,96705.57331
1,45.95250502,1713.38,176.8932956,10,72,89729.73775
3,117.0798215,1533.52,179.2854116,16,89,95091.25275
2,75.45772945,416.16,56.52521271,16,34,98936.92291
2,115.3373731,1006.77,126.4062447,14,54,97794.43767
1,21.68826783,384.9,120.3081361,20,2,98697.47935
9,432.0418986,262.47,18.48416575,2,84,105339.9994
3,44.74598967,1656.41,104.7316837,19,22,92906.56732
2,65.29731571,995.46,15.97525358,24,10,95633.86502
2,49.71136668,1527.68,215.9541807,1,40,93852.53491
11,279.636796,1477.12,142.2897707,1,66,101468.971
4,120.0844548,1775.23,174.5596544,16,80,92281.52552
5,203.2235503,1832.74,330.2753175,2,28,97619.52217
4,134.9180131,838.48,-0.535522979,19,22,98325.92604
6,79.12640114,1514.05,199.4610101,2,44,91861.98099
3,79.99302912,559.37,48.85049392,6,4,95066.56409
2,83.11018434,719.51,41.96463261,21,31,97349.71735
2,62.54320791,171.07,-36.23585509,2,93,93544.5359
2,-0.664732309,1725.03,74.28470086,2,95,86857.66479
1,22.58652505,109.21,36.79135956,9,24,94385.22773
4,106.2628061,605.04,17.62904142,7,73,96807.00255
3,53.49969195,1451.51,97.99782753,4,93,91644.42007
3,95.02083848,708.05,107.1748171,10,15,95878.6251
3,55.5681639,676.79,128.1148187,1,23,94024.28111
9,131.5200206,972.61,72.8992952,1,81,94087.35378
3,65.85544798,1631.44,143.8114753,22,88,93619.98704
2,59.97117055,258.79,-1.6597319,22,62,97994.31701
3,136.7533538,1821.16,125.461942,23,1,95202.31605
2,83.51707041,1776.98,160.5901884,7,25,93152.88657
4,155.5942319,526.27,-3.031190164,6,5,98217.55379
1,50.38741758,1082.27,52.03938178,7,34,91117.83483
2,56.22474484,1708.66,224.3869849,17,30,94008.3131
4,104.8293652,917.53,87.91031473,21,15,97736.26599
5,164.2551534,389.45,-7.611424214,2,31,97255.85951
6,159.8293549,1215.51,67.58939366,1,13,95185.38207
4,185.037786,209.87,25.84150752,24,95,100380.3729
9,241.3784332,469.3,33.30597006,2,18,103250.234
1,43.25548435,858.4,54.47937482,11,10,92495.11726
9,117.1666636,166.37,-14.80339372,1,17,97536.46188
2,116.2748711,1329.84,38.0644349,8,82,93960.12899
2,25.64036045,1218.07,133.2386575,10,49,92478.26402
2,51.17953963,1195.26,88.81227996,1,79,92615.59046
2,82.24910276,1813.54,60.85241935,11,23,90604.50489
7,272.3818328,904,57.14947891,1,29,100420.0602
2,112.7822642,1885.57,161.2905889,14,66,93636.80036
2,89.34284887,1404.1,106.1960408,19,91,93140.68489
3,160.773411,1425.93,84.35584513,1,70,95239.35331
6,173.2374845,227.15,77.39219053,3,52,100974.2785
1,42.01358915,1948.87,194.7623238,11,46,91628.19768
7,306.8786616,265.64,-4.381466427,1,13,102363.2764
5,121.6862091,581.25,24.428127,2,58,96842.55996
3,26.1051838,1378.72,223.5213959,8,8,95243.31205
2,61.99788742,1282.09,166.1713641,10,33,93439.89338
3,98.24073968,355.8,-17.13390919,14,62,98102.4819
3,109.4061474,1454.34,128.3864679,4,87,92719.15728
2,75.50800678,692.13,36.16072918,4,63,91770.9169
8,210.3200009,1540.84,197.4333696,2,42,98751.0067
2,61.94338403,40.89,-9.908478325,19,64,97358.54883
7,93.58999017,1106.49,145.7851169,1,64,94428.90971
6,250.5948678,979.25,103.6176795,1,27,99241.40216
2,64.32340885,1514.29,118.206136,2,21,92500.18278
1,40.93767633,49.08,45.4964856,9,41,97522.95021
1,38.88293554,70.03,45.17721779,15,20,98211.38964
7,189.745314,71.99,27.5883304,1,62,102310.8406
4,58.87577667,259.09,-32.32719474,3,73,92749.72802
1,47.87032951,419.47,22.17467339,2,78,91615.98568
6,96.26168234,1223.58,66.33810864,1,49,93596.71164
7,229.0125801,1494.92,144.3813045,1,2,100050.382
2,42.09079881,1819.01,165.9120138,2,84,89037.82927
4,161.3727442,586.74,105.84235,6,69,97416.26275
2,21.60450098,1841.58,108.732385,1,29,89613.72424
8,161.1170373,198.72,-33.95855806,2,1,101490.9877
3,110.5723172,1427.98,193.8773923,17,83,95351.5995
2,73.37269827,198.82,63.55389621,6,12,97561.0682
1,7.607250133,297.85,3.304855865,9,93,91422.05839
4,138.4014824,150.65,-36.47952451,22,14,102355.1773
3,125.2426435,1113.08,170.8979521,13,55,95698.41607
1,52.05906298,1983.36,144.785767,13,80,89472.30699
4,117.0862537,1733.51,136.9291456,5,84,93076.64554
2,71.9832519,1878.32,127.9073838,10,63,90117.13193
7,81.27958757,131.37,-38.63290156,1,0,97864.28895
1,53.28598831,1462.21,112.3666288,9,94,91871.4463
3,121.2611437,1233.8,179.3450034,16,13,98347.35254
5,56.81346694,224.52,29.39447477,3,48,94812.60348
4,181.9844293,291.22,-14.16790208,17,60,98987.44677
3,33.16242363,263.96,49.30014109,23,40,97383.48053
3,83.94691715,1136.19,65.73924522,22,1,95583.76773
2,9.54084791,1633.19,201.7190187,20,68,92411.49432
2,32.96708323,1554.04,156.3653557,13,23,93122.74785
8,383.6828305,936.12,40.96911792,1,48,102257.8303
2,100.2909005,1341.73,29.5428672,22,17,95584.24071
3,79.41516398,852.23,33.67521264,14,51,93960.70445
2,15.83825023,1554.37,150.8687778,21,59,91804.58466
8,139.8189447,1316.2,22.42272005,2,40,95819.08848
7,218.4853149,1690.06,110.9247362,1,63,93959.70679
2,40.81718051,1063.48,134.4212305,3,84,93629.94131
7,73.32964755,602.98,95.13805482,1,39,94372.65567
6,101.709833,1417.9,159.6779072,3,29,94678.99479
4,132.1089964,630.3,68.7768366,6,16,97975.13099
1,51.12163494,1309.26,83.46844814,13,9,92890.36313
7,190.9348514,177.14,88.4901907,1,23,103099.561
9,223.9233118,113.28,30.86445104,1,28,101702.0311
9,217.9143783,213.37,26.7056288,2,36,101531.5287
10,151.2694593,1333.89,90.73275445,1,8,96800.39701
8,77.31419958,461.41,18.04958207,1,54,95849.39338
3,96.1947645,1959.48,151.8617891,1,2,91759.34705
8,341.7365497,827.85,99.2116513,1,54,102740.2979
2,80.76602945,766.18,29.34186691,20,52,97463.14805
5,88.23367438,1156.68,158.3910612,2,20,94209.69765
6,101.9307434,194.78,8.862689581,3,46,96077.18276
2,48.94646547,1710.12,175.9624454,22,66,94583.15496
2,47.46428142,1314.79,157.067516,5,36,91467.69262
5,34.19090684,660.6,149.5264604,1,46,94950.11646
5,131.7223275,1696.03,87.48169587,3,60,90621.98953
1,34.38380452,920.72,83.29619495,19,45,93940.89518
3,128.874347,1070.19,90.13461871,19,49,95320.41254
4,184.1134645,840.65,121.1179248,12,20,100001.2017
7,91.80535006,447.06,-18.84616575,1,9,96928.53318
4,165.8153498,631.57,80.12075954,7,37,98130.49599
3,64.53800105,1577.39,144.104086,3,72,89850.72424
3,153.4821407,59.44,-41.6639118,8,75,99767.48348
1,28.35429374,1123.37,28.38501627,7,51,91118.25201
1,57.13229124,1541.94,120.7969419,7,58,89065.55793
8,234.0515511,1955.9,173.5504671,2,4,97167.48939
2,33.92032569,256.64,-45.80657335,1,43,91190.88022
4,143.3291322,1876.72,148.8262662,18,83,92451.07435
11,374.8855064,76.35,102.3886251,1,21,109222.3528
6,158.2516124,38.67,-12.32677879,2,1,102021.9201
1,45.70364374,620.64,116.4148645,19,19,95610.14919
2,45.55553583,564.55,50.93805912,1,66,94935.78863
2,38.38052039,1382.39,107.012781,24,35,95945.7998
4,58.44597234,1212.77,201.9116105,22,85,94949.61281
2,65.33846773,314.4,-42.53417412,5,19,96117.33841
3,157.5642806,1584.1,146.898159,22,72,96575.83441
2,0.940932951,1889.44,146.6257978,13,31,88019.96054
3,100.0273972,279.52,-46.19008427,5,45,94815.55855
2,57.17926393,720.53,61.06517647,9,59,94310.10778
4,158.7761516,978.48,149.2070724,18,7,100360.6461
4,48.21508422,570.79,41.17070638,9,60,92963.00866
1,32.02905381,1233.82,135.7308889,22,48,95229.64211
2,58.62070327,487.95,150.5231705,11,26,97753.69412
7,100.4784511,723.76,12.34043205,1,43,94046.54248
2,101.7624247,1334.01,130.3275282,15,77,93041.26444
3,144.4076318,1478.26,204.0365986,2,0,97709.93851
2,58.40054797,1365.74,144.4551567,6,19,92769.68442
4,100.8904357,1960.7,115.7521359,15,86,92540.41875
5,113.0417769,954.57,73.72111014,2,92,94747.85881
3,37.96136146,1725.95,159.9578868,10,74,90830.77465
3,157.1397814,245.76,-38.8157915,5,17,97500.17281
6,229.046762,176.28,46.09930151,3,91,100147.4871
4,87.92982789,930.61,113.5260578,3,44,96784.39037
4,178.2030363,860.98,136.4591991,19,36,100374.6754
2,43.54830331,685.11,-67.47993165,23,49,93758.9923
1,54.74598371,602.23,83.69469104,7,28,96416.47443
3,134.401168,93.82,28.90854983,1,22,99135.21538
1,19.6364749,1101.81,93.66876103,21,1,94150.86223
5,52.04361461,1522.07,74.53885335,1,58,88465.91093
4,175.804714,83.6,30.29499955,3,4,102579.9471
3,156.204239,1756.79,109.8557696,4,44,94535.80764
3,125.5632471,642.55,85.11236617,5,68,94797.78558
2,118.2480036,1315.59,202.1023854,9,65,95376.08108
4,39.66930645,875.09,145.8757846,8,7,96038.57989
3,37.12491068,1486.48,156.0222681,16,49,93841.45492
3,50.7099261,1204.64,88.8777002,19,48,95587.7167
3,38.57319176,1257.91,103.2761469,3,32,90748.32195
4,164.2007786,22,36.91251172,13,57,103208.3204
1,66.89316151,1031.07,112.8712528,14,58,96107.73995
4,177.8431554,214.82,-50.96455406,4,46,97300.34498
3,144.7891566,216.82,32.13037157,14,62,99650.28171
2,117.2006104,112.83,27.56316176,15,77,97910.63835
5,132.0488778,701.81,102.0345967,2,53,96106.65479
3,83.05448742,394.45,46.64341616,22,0,99055.10773
11,541.7249568,1593.46,148.7474246,1,95,106756.6499
5,57.88097407,1546.08,157.5364005,2,85,89821.78865
3,54.27082803,1818.52,112.7528337,12,19,91546.13961
6,79.79447886,44.94,10.5192418,3,97,96603.06899
12,565.6051202,1370.87,145.1876548,1,44,109592.031
10,268.4339034,1995.21,265.2051465,1,66,98491.96112
2,23.86157707,409.87,32.63251987,4,14,95124.54372
4,80.58779116,1702.52,228.9709147,3,10,93374.17515
2,87.36992291,465.35,-11.50560055,1,42,94434.5026
9,313.331666,1709.59,49.68348304,2,62,98002.06042
8,295.3585704,1442.06,108.3999373,1,52,98660.63547
2,49.10978445,144.96,-24.84714302,12,70,95907.69607
2,40.76987358,969.6,81.64070087,9,16,92634.10331
2,74.88242112,414.26,66.76858028,8,54,95820.67209
2,93.68011452,1605.49,100.5845829,11,69,92271.06794
3,151.8517984,175.55,-7.181822113,22,40,101710.4887
5,191.7542369,1732.14,152.9562903,2,91,92135.20653
2,42.71548257,1552.62,251.3366195,2,19,93931.91491
4,75.05796664,289.31,8.835618558,1,76,95457.50195
5,192.6960712,1842.36,174.0580365,2,44,95840.80698
1,48.93018435,1112.98,47.16740886,21,12,93416.79087
2,86.91061988,1963.95,136.5984306,10,91,88353.3531
1,35.68711402,1026.69,80.50601351,11,3,92367.50648
1,48.45749053,364.81,52.78521728,7,90,92405.51484
3,110.891926,859.79,66.30238009,4,42,95146.91669
7,190.4360215,309.08,11.42129718,1,10,100721.588
1,36.93344441,1252.93,153.7760919,6,45,92041.9855
2,95.21601758,457.53,37.90328124,7,26,97398.39944
2,79.86989336,1792.23,199.0877144,16,61,93862.01063
2,102.410462,1965.12,184.8087337,20,87,94673.52156
6,250.100411,815.91,1.925139629,3,38,100732.2551
2,92.97764421,762.58,67.32258813,16,28,98949.88993
2,50.83239522,411.44,35.73967209,2,27,93432.55904
1,49.92769823,1917.99,186.3449179,19,4,93849.50694
1,51.95295835,137.91,15.22016711,7,94,95801.14523
1,17.44572314,1399.49,237.99876,1,66,92118.32687
4,115.4860193,1200.11,30.98200141,16,79,94655.27943
2,17.76479769,289.01,9.682851116,20,85,96775.66094
5,157.863066,1271.63,129.5747501,1,50,94071.35243
1,49.91737872,1511.67,210.0760396,3,61,89981.26338
10,318.8990577,984.03,57.81165756,1,6,104566.9345
1,13.40885931,322.09,-54.81209032,20,48,93746.59685
3,48.58148612,1676.34,185.3154333,16,13,95277.48219
4,118.7513744,397.84,118.9992562,19,17,99679.82411
1,53.1954074,323.87,20.57098344,12,84,96123.89712
4,208.7720674,794.7,28.21456005,6,58,98231.3868
2,88.4607755,199.28,97.36173455,1,82,94557.52504
1,37.76814528,1140.4,45.26256738,2,85,89538.04381
7,78.96869961,53.97,48.73255314,1,41,96846.47412
1,44.00304303,791.05,60.55748599,24,3,95728.25048
3,136.3169691,1023.92,45.52428851,6,69,95369.27417
7,156.5819107,971.88,158.1234768,1,28,99965.82858
3,131.2803372,1450.34,95.3376482,7,29,94110.54243
4,138.5168744,1253.53,152.7133598,11,32,98978.10076
1,38.80876285,1806.23,107.9076246,5,27,88624.0912
5,251.28037,1223.72,102.8762878,2,15,97522.90797
4,44.91038755,299.8,-20.76513788,16,8,97873.26964
2,34.72769088,613.3,13.97654393,14,15,94015.47921
2,26.85335703,708.16,74.51205269,18,11,96965.19455
3,52.55923645,1727.7,130.7032253,12,5,94593.35727
2,53.2746695,1744.13,193.5546464,8,70,89759.28354
5,22.20509854,1864.41,98.05489036,1,71,88058.63319
2,99.93577516,1077.53,120.0184239,3,63,93069.70347
1,40.29250799,1442.05,187.4010782,2,22,92628.12834
2,18.4284672,157.13,-44.41632307,22,39,98207.43291
2,43.5888771,1333.57,84.02427339,14,31,92661.54267
2,93.18720698,183.03,122.3122511,15,53,98647.67894
2,97.88185252,1877.46,42.2436769,10,3,91520.69077
2,95.58299826,1040.81,86.96626086,23,86,93787.61827
2,41.99176262,906.04,82.81288022,1,52,92423.64318
6,43.84839884,1721.83,69.54866041,2,46,90204.60242
3,102.7831997,1974.88,178.9537457,8,65,90296.44106
3,93.33130049,1851.6,117.1528725,13,49,92112.09763
3,86.50585774,27.55,45.12098841,19,93,97079.26227
1,52.90943437,57.28,-13.60215583,11,45,96592.42697
4,134.3799838,1985.63,127.563948,14,95,90601.49161
1,41.63786771,1055.52,38.59623343,22,34,95114.32949
3,73.63940785,1046.6,93.18754481,2,22,95122.39654
5,255.3206312,71.66,28.42551614,3,83,101246.5086
6,116.0589362,104.12,101.2248344,1,56,100736.6545
4,77.11042358,1714.53,173.058696,11,29,94177.07412
6,284.5545325,1855.38,185.5819776,3,59,99605.68262
9,196.5060045,1169.62,107.2753258,1,69,98258.80289
3,94.54016798,1815.98,166.2128113,17,54,93444.69595
1,18.54258916,982.67,184.9169027,10,96,92630.94206
4,153.053449,381.96,62.4770553,8,60,97676.15131
3,132.2340414,794.48,126.2115496,11,37,98450.07436
1,73.07618648,303.3,74.44930437,5,30,98316.63072
6,188.9917635,623.87,18.986923,2,33,97439.30908
3,52.23773918,1773.47,125.8271428,3,20,91251.05753
1,69.76510032,640.89,130.3937753,12,18,98708.32355
4,166.4673126,50.82,-39.77018019,4,5,101069.3202
1,55.55520827,661.01,50.1317075,20,65,94111.59723
1,50.63464073,1829.63,92.77712631,22,72,89217.98308
7,238.8885713,111.48,11.24391551,1,38,102509.3199
2,22.94045945,765.97,117.2757006,1,58,92963.20937
5,122.441852,509,109.166547,2,44,96293.7486
3,89.50479783,1217.43,180.667478,9,72,95623.13379
2,72.18438861,1443.38,181.859022,7,48,93268.18005
11,254.6032181,1103.54,106.9268095,1,49,99647.23173
1,55.227315,1463.55,101.6866221,22,25,95784.6692
1,1.960705234,724.85,87.18864788,10,46,93507.76971
5,70.44087351,1285.35,143.5299158,1,68,94212.02103
5,63.31056371,1607.73,97.61841623,3,80,88555.61412
7,170.1033865,1243.7,119.1061964,1,77,96211.21077
2,102.8763472,986.03,84.13709427,23,31,97596.58177
2,56.62944005,1298.54,90.2883046,14,8,95158.44628
2,110.4784067,1118.95,189.438428,9,19,97769.11594
7,179.792723,1394.24,154.5282294,1,2,99780.09596
1,8.651181761,1654.15,162.8955853,3,64,90859.01871
2,10.79997354,1135.43,170.7381503,14,95,93689.0743
1,29.82121379,74.83,-57.24975866,22,53,97655.58225
4,58.75733624,1993.12,141.593262,9,90,88862.74017
4,138.8468595,874.28,125.8009154,8,41,97310.3019
2,86.10811775,1679.27,152.2822878,10,26,94463.85912
3,104.4976129,663.89,48.57879439,7,12,95386.14617
10,297.5336641,306.42,39.72229114,1,58,104662.154
7,264.7470531,497.76,82.35337989,1,21,102891.3515
4,168.0781813,939.32,61.87192839,21,66,97107.73667
3,88.80392617,88.12,-57.39527615,19,52,96328.09557
4,128.2347771,1434.33,111.9650905,6,75,91673.96257
1,30.99307303,727.88,91.56244382,2,39,93682.5608
2,63.72643196,1478.37,35.12585224,21,43,92547.57316
2,7.419730134,1904.64,72.38932045,17,60,89529.70913
9,198.0557642,493.61,79.01412643,1,53,100616.9971
2,39.68894122,989.89,87.30169641,1,64,90325.33509
2,110.8285465,327.57,-70.45067378,11,52,97622.66394
1,44.99096257,1838.95,145.3466527,20,8,93347.84241
2,54.53302712,1986.47,232.0480746,24,22,94325.18714
3,24.76780357,272.76,74.76935961,15,96,93811.12076
5,134.6765468,1313.62,68.30156775,3,14,96414.43798
1,43.03063987,597.99,30.73986976,12,93,91659.40179
10,299.1446745,694.39,33.74570813,2,53,101057.0358
9,147.9333934,1774.05,161.1023119,2,19,93950.49928
2,68.41817397,1434.81,65.9742544,8,16,91417.20903
2,38.9839303,1663.89,141.1400604,8,96,88337.80659
2,95.81303696,1531.95,181.0514829,17,60,95748.14466
2,51.36578721,1638.63,174.306526,23,37,92572.67052
2,97.21731454,939.34,85.48018959,18,65,95057.88195
2,43.9535229,1523.1,169.3317637,19,45,94006.14788
4,68.55256842,540.67,33.30371399,19,67,95246.31317
6,306.7302961,148.44,19.2333494,1,38,102467.277
9,137.6371313,940.16,119.323236,2,25,99893.79048
5,252.9399692,905.75,-4.178269478,1,69,98847.90644
3,103.8328822,772.23,46.34961229,10,90,95148.82357
2,93.27960639,1571.42,185.752377,9,53,92249.77468
1,23.67054572,1774.98,125.2707111,23,18,90429.79122
5,89.46444764,1471.69,86.43171839,3,30,90998.80747
1,21.15144569,1682.68,198.6651743,15,20,93651.59655
3,102.9901345,1651.94,226.5251021,17,17,97825.99934
2,124.2979657,1467.57,127.4983296,19,43,95570.99506
3,81.97297588,1353.78,119.0352263,12,95,92052.21072
3,122.3589267,372.03,74.25629846,15,31,98643.93195
6,138.0552306,636.02,10.58790796,3,34,97801.53657
1,29.20759195,1570.78,214.6991358,15,49,91487.09079
2,45.9205539,1768.04,148.5633008,7,94,89008.0964
1,18.09893144,261.62,1.58632391,19,29,95633.27448
4,203.915644,582.24,97.43779525,23,90,99998.35266
3,128.8871853,939.27,42.93642534,11,1,98347.68282
6,277.1992046,1308.47,125.2972072,3,72,97774.40807
6,170.259366,240.8,0.030636569,1,97,95813.36468
5,118.4563294,23.59,39.31310769,2,25,97773.60416
3,167.3121963,1750.31,109.5651304,23,38,95712.80951
2,120.8534622,298.18,6.521043478,6,21,96120.22831
4,176.3279218,1496.62,150.3974922,7,49,95483.50279
1,35.08153885,148.47,-40.63427542,1,48,92791.23721
2,92.35812826,1092.07,124.8452183,14,22,94964.62658
9,417.9538501,1014.49,116.5691306,1,66,103937.48
1,73.32416786,790.97,89.69009439,19,44,94647.48571
3,86.38146277,1429.95,106.2997581,24,55,96650.48206
10,167.8727915,1752.07,228.4167871,2,52,97189.2024
5,180.2012783,1820.55,134.9140744,1,15,96111.90641
2,53.45925147,208.74,-2.087267494,18,88,97399.40353
6,128.6356691,1151.11,13.11539036,1,83,91052.04268
1,22.30630754,484.78,55.53535739,23,67,94850.42809
2,8.811499094,757.95,145.6188401,5,96,91334.76434
9,261.9533314,23.47,-66.73862854,1,92,99350.26686
4,102.259614,1888.27,251.2658745,8,2,94246.62067
1,41.74144825,34.05,-64.33177113,14,87,94796.10392
6,107.3292721,1819.96,169.9943813,3,29,92922.84722
4,68.36136609,597.49,82.62082985,21,90,96764.0897
2,53.70170219,524.18,5.41656549,23,18,95293.22768
2,84.75328857,1666.46,149.4241194,17,53,91715.79183
2,28.14669672,43.5,9.150701472,11,10,96329.86175
2,61.45620414,166.63,-7.885329714,6,9,95950.33695
2,29.47742983,497.44,55.34445064,2,54,94199.72297
4,97.99903229,599.41,44.47600356,3,89,93889.40987
2,46.57227848,177.8,-89.75080076,5,41,95287.54838
4,15.99281045,434.76,121.7858916,11,94,96450.46542
8,52.05266047,1910.55,150.1532939,1,92,90317.74697
8,304.4456451,1450.28,126.9215489,1,84,99336.17205
6,185.4707386,1493.75,45.60294905,1,13,96798.21862
1,33.63528629,1146.35,105.4594259,11,82,91642.50275
9,244.5910106,1041.28,91.70115908,1,72,97659.2643
3,61.42107733,721.72,83.51342763,21,2,99166.54013
3,136.2218506,717.19,114.0531692,4,84,95451.92478
2,93.90327261,1801.77,12.42865699,19,86,88901.32964
5,93.44406988,1344.13,111.2948444,2,17,94184.9023
2,34.91822814,310.34,107.3186762,2,43,93520.40356
9,450.1116282,1086.67,65.35250363,1,51,104114.2
4,201.8308267,1214.98,45.63223161,17,94,96540.80979
2,54.70330355,1371.85,70.29485309,17,84,90033.93258
6,138.4568644,1849.03,215.1696205,3,76,94423.16968
2,79.67661554,1883.31,270.2009077,9,13,94415.15749
7,169.4548988,857.47,112.598297,1,19,97469.49547
7,133.7936844,695.63,58.01614849,1,28,97101.12682
5,93.6675441,1510.25,79.00630209,3,70,90067.80172
1,24.69624903,1457.87,53.68683275,10,64,89971.12979
3,157.2652658,25.01,27.49167282,20,16,100921.9636
3,123.7840299,704.34,93.06389598,24,45,100870.276
1,41.63531507,510.63,85.20457606,17,86,95795.52021
3,130.5846798,825.74,53.80566536,6,68,96009.55648
4,156.753682,790.57,75.60511012,6,52,96585.37443
